Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1726790400000,2024-09-20,BNTBTC,8.02e-06,8.02e-06,7.92e-06,7.94e-06,3382.9,0.02685174,15
1726704000000,2024-09-19,BNTBTC,7.83e-06,8e-06,7.81e-06,8e-06,17752.4,0.14095058,132
1726617600000,2024-09-18,BNTBTC,7.84e-06,7.89e-06,7.64e-06,7.83e-06,42718.1,0.33239083,612
1726531200000,2024-09-17,BNTBTC,7.84e-06,7.92e-06,7.74e-06,7.86e-06,21037.9,0.16480506,1630
1726444800000,2024-09-16,BNTBTC,7.87e-06,7.96e-06,7.81e-06,7.85e-06,35469.3,0.27929799,616
1726358400000,2024-09-15,BNTBTC,8.1e-06,8.14e-06,7.91e-06,7.91e-06,17640.0,0.14178716,1069
1726272000000,2024-09-14,BNTBTC,8.1e-06,8.39e-06,8.05e-06,8.1e-06,15880.5,0.12914428,1027
1726185600000,2024-09-13,BNTBTC,8.2e-06,8.25e-06,8.1e-06,8.1e-06,12524.3,0.10237729,1030
1726099200000,2024-09-12,BNTBTC,8.12e-06,8.21e-06,8.08e-06,8.21e-06,8537.1,0.0694454,201
1726012800000,2024-09-11,BNTBTC,8.16e-06,8.18e-06,8.07e-06,8.12e-06,13073.8,0.10602336,645
1725926400000,2024-09-10,BNTBTC,8.19e-06,8.21e-06,8.14e-06,8.2e-06,2917.9,0.02387743,28
1725840000000,2024-09-09,BNTBTC,8.24e-06,8.33e-06,8.13e-06,8.19e-06,10252.0,0.08439924,168
1725753600000,2024-09-08,BNTBTC,8.13e-06,8.32e-06,8.1e-06,8.24e-06,6210.2,0.05113018,69
1725667200000,2024-09-07,BNTBTC,7.99e-06,8.2e-06,7.99e-06,8.13e-06,2519.4,0.0204698,52
1725580800000,2024-09-06,BNTBTC,8.06e-06,8.18e-06,7.9e-06,8.04e-06,21599.6,0.17411946,192
1725494400000,2024-09-05,BNTBTC,8.12e-06,8.13e-06,8e-06,8.06e-06,13731.6,0.11080368,95
1725408000000,2024-09-04,BNTBTC,8.01e-06,8.2e-06,7.91e-06,8.15e-06,16710.0,0.13502038,173
1725321600000,2024-09-03,BNTBTC,8.18e-06,8.21e-06,8.03e-06,8.03e-06,6451.5,0.05219306,114
1725235200000,2024-09-02,BNTBTC,8.02e-06,8.24e-06,8.02e-06,8.18e-06,20193.0,0.1637853,181
1725148800000,2024-09-01,BNTBTC,8.12e-06,8.17e-06,7.97e-06,7.98e-06,7990.1,0.06456538,153
1725062400000,2024-08-31,BNTBTC,8.29e-06,8.3e-06,8.08e-06,8.13e-06,9866.9,0.0805674,283
1724976000000,2024-08-30,BNTBTC,8.19e-06,8.29e-06,8.01e-06,8.28e-06,51971.6,0.42508029,1380
1724889600000,2024-08-29,BNTBTC,8.27e-06,8.72e-06,8.13e-06,8.22e-06,175977.1,1.48960815,807
1724803200000,2024-08-28,BNTBTC,8.1e-06,8.28e-06,8.06e-06,8.21e-06,58879.5,0.48089263,384
1724716800000,2024-08-27,BNTBTC,8.35e-06,8.44e-06,8.06e-06,8.13e-06,27682.1,0.22867671,181
1724630400000,2024-08-26,BNTBTC,8.37e-06,8.48e-06,8.24e-06,8.3e-06,20033.6,0.16751363,265
1724544000000,2024-08-25,BNTBTC,8.45e-06,8.6e-06,8.25e-06,8.37e-06,82504.7,0.69642486,863
1724457600000,2024-08-24,BNTBTC,8.44e-06,8.57e-06,8.38e-06,8.51e-06,15353.6,0.12989427,153
1724371200000,2024-08-23,BNTBTC,8.39e-06,8.58e-06,8.31e-06,8.45e-06,22209.9,0.18843085,204
1724284800000,2024-08-22,BNTBTC,8.28e-06,8.46e-06,8.28e-06,8.44e-06,11147.9,0.09284387,107
1724198400000,2024-08-21,BNTBTC,8.14e-06,8.28e-06,8.11e-06,8.21e-06,23440.6,0.19200959,125
