Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1747699200000,2025-05-20,BTCEUR,93988.71,95108.27,92683.36,94662.05,414.31245,38956604.5649722,62359
1747612800000,2025-05-19,BTCEUR,95165.11,95738.96,90727.6,93993.45,450.16556,41722405.8933833,66219
1747526400000,2025-05-18,BTCEUR,92472.49,95346.85,92124.0,95177.83,430.66646,40383626.8865545,56743
1747440000000,2025-05-17,BTCEUR,92745.32,93000.77,92005.08,92471.86,129.39224,11960812.6888082,24112
1747353600000,2025-05-16,BTCEUR,92770.38,93912.01,92070.7,92749.3,197.25329,18336117.865862,34972
1747267200000,2025-05-15,BTCEUR,92618.51,93288.99,90673.48,92762.84,300.34064,27584207.5437418,45330
1747180800000,2025-05-14,BTCEUR,93075.42,93084.22,91592.81,92625.69,270.33866,24994291.3080707,35841
1747094400000,2025-05-13,BTCEUR,92590.59,93860.03,91324.85,93087.57,343.52272,31900695.6106365,45178
1747008000000,2025-05-12,BTCEUR,92447.09,94799.17,90870.01,92587.21,535.32928,49773035.9817988,75457
1746921600000,2025-05-11,BTCEUR,93024.98,93147.61,91666.66,92453.97,307.61809,28442055.9276113,43987
1746835200000,2025-05-10,BTCEUR,91456.34,93165.08,91280.0,93025.99,212.23955,19538127.3288053,28063
1746748800000,2025-05-09,BTCEUR,91824.05,92752.99,90795.65,91456.32,358.22083,32815685.4748272,50193
1746662400000,2025-05-08,BTCEUR,85838.36,92631.41,85616.16,91827.62,706.66065,62926185.9623024,84620
1746576000000,2025-05-07,BTCEUR,85412.24,86266.61,84500.01,85827.28,333.77493,28495356.1191757,43997
1746489600000,2025-05-06,BTCEUR,83783.62,85448.74,82277.4,85404.55,264.41976,22088157.9781891,35440
1746403200000,2025-05-05,BTCEUR,83347.89,84155.99,82475.0,83777.37,225.41393,18780944.5131553,29766
1746316800000,2025-05-04,BTCEUR,84957.76,85353.2,83233.95,83378.78,158.78964,13422205.4110241,18268
1746230400000,2025-05-03,BTCEUR,85823.33,85866.99,84873.07,84981.53,108.77754,9277592.2257244,14843
1746144000000,2025-05-02,BTCEUR,85389.73,86429.48,85004.02,85823.34,265.69555,22775894.5240088,28855
1746057600000,2025-05-01,BTCEUR,83161.48,86305.01,83117.33,85394.08,320.04279,27196414.9735077,36637
1745971200000,2025-04-30,BTCEUR,82801.1,83758.7,81793.63,83164.11,333.68123,27716693.665763,33269
1745884800000,2025-04-29,BTCEUR,83333.3,83905.61,82380.52,82828.47,284.40594,23691296.6992413,30428
1745452800000,2025-04-24,BTCEUR,82716.21,82850.92,80621.8,82665.62,308.38656,25218256.3129688,32113
1745366400000,2025-04-23,BTCEUR,82267.43,83237.43,80807.83,82752.47,685.22122,56342563.7803195,63428
