Unix,Date,Symbol,Open,High,Low,Close,Volume NMR,Volume BTC,tradecount
1747699200000,2025-05-20,NMRBTC,0.0000861,0.0000869,0.0000834,0.0000848,1799.06,0.15279997,219
1747612800000,2025-05-19,NMRBTC,0.0000879,0.0000879,0.0000846,0.0000857,1501.52,0.12840318,229
1747526400000,2025-05-18,NMRBTC,0.0000874,0.0000896,0.0000847,0.0000879,2421.29,0.21182885,368
1747440000000,2025-05-17,NMRBTC,0.0000882,0.0000929,0.0000855,0.000087,6448.82,0.5736205,1232
1747353600000,2025-05-16,NMRBTC,0.0000882,0.0000897,0.0000872,0.0000883,4376.68,0.38792162,521
1747267200000,2025-05-15,NMRBTC,0.0000925,0.0000933,0.0000875,0.0000882,3178.96,0.28677406,977
1747180800000,2025-05-14,NMRBTC,0.0000964,0.0000972,0.0000921,0.0000925,1902.67,0.17997652,227
1747094400000,2025-05-13,NMRBTC,0.0000945,0.0000963,0.0000898,0.0000957,4788.42,0.44673147,504
1747008000000,2025-05-12,NMRBTC,0.0000903,0.0000951,0.0000895,0.0000944,7473.78,0.69101003,1338
1746921600000,2025-05-11,NMRBTC,0.0000957,0.0000963,0.0000896,0.0000908,5195.67,0.4834208,558
1746835200000,2025-05-10,NMRBTC,0.0000944,0.0000968,0.0000929,0.000096,6968.61,0.65858423,589
1746748800000,2025-05-09,NMRBTC,0.0000903,0.0000958,0.0000903,0.0000941,7992.75,0.74963398,828
1746662400000,2025-05-08,NMRBTC,0.0000859,0.0000917,0.0000855,0.0000904,7722.92,0.68847469,827
1746576000000,2025-05-07,NMRBTC,0.000086,0.0000865,0.0000847,0.0000859,1784.41,0.15262446,160
1746489600000,2025-05-06,NMRBTC,0.0000904,0.0000924,0.0000854,0.0000862,2382.71,0.21137235,247
1746403200000,2025-05-05,NMRBTC,0.0000905,0.0000912,0.0000875,0.0000905,1794.62,0.1607239,191
1746316800000,2025-05-04,NMRBTC,0.0000902,0.0000906,0.0000879,0.0000906,3440.25,0.30698398,390
1746230400000,2025-05-03,NMRBTC,0.0000948,0.0000957,0.0000888,0.00009,2433.1,0.22346388,325
1746144000000,2025-05-02,NMRBTC,0.0000954,0.0000956,0.0000924,0.0000947,1041.1,0.09762735,207
1746057600000,2025-05-01,NMRBTC,0.0000974,0.0000985,0.0000938,0.0000957,4704.85,0.45104581,611
1745971200000,2025-04-30,NMRBTC,0.0000958,0.0000987,0.0000958,0.0000971,1788.76,0.17385726,257
1745884800000,2025-04-29,NMRBTC,0.0000985,0.0001,0.0000954,0.0000957,2517.51,0.24548584,390
1744761600000,2025-04-16,NMRBTC,0.0000828,0.000084,0.0000773,0.0000782,4159.79,0.33383839,360
1744675200000,2025-04-15,NMRBTC,0.0000832,0.0000832,0.0000796,0.0000819,4751.89,0.38610845,370
1744588800000,2025-04-14,NMRBTC,0.0000847,0.0000862,0.0000826,0.0000836,4546.7,0.38601607,297
