Unix,Date,Symbol,Open,High,Low,Close,Volume PERP,Volume BTC,tradecount
1743120000000,2025-03-28,PERPBTC,0.0000043,0.0000043,0.0000043,0.0000043,563.7,0.00242386,7
1743033600000,2025-03-27,PERPBTC,0.00000443,0.00000446,0.00000432,0.00000437,29270.83,0.12797548,101
1742947200000,2025-03-26,PERPBTC,0.00000446,0.0000045,0.00000438,0.0000044,23400.05,0.10403411,103
1742860800000,2025-03-25,PERPBTC,0.00000446,0.00000453,0.00000441,0.00000453,8788.04,0.03920256,40
1742774400000,2025-03-24,PERPBTC,0.00000428,0.00000447,0.00000427,0.00000447,18753.33,0.08284753,114
1742688000000,2025-03-23,PERPBTC,0.00000442,0.00000448,0.0000043,0.0000043,13780.2,0.06034938,221
1742601600000,2025-03-22,PERPBTC,0.00000436,0.00000454,0.00000436,0.00000444,23659.71,0.1052454,357
1742515200000,2025-03-21,PERPBTC,0.00000435,0.00000442,0.00000427,0.00000434,14839.3,0.0638655,204
1742428800000,2025-03-20,PERPBTC,0.00000437,0.00000444,0.00000435,0.00000437,21123.59,0.09269147,170
1742342400000,2025-03-19,PERPBTC,0.00000445,0.00000452,0.00000437,0.00000441,12243.85,0.05435431,80
1742256000000,2025-03-18,PERPBTC,0.00000437,0.00000446,0.00000425,0.00000446,11754.56,0.05115676,89
1742169600000,2025-03-17,PERPBTC,0.00000415,0.00000439,0.00000415,0.00000439,7550.12,0.0322832,40
1742083200000,2025-03-16,PERPBTC,0.00000429,0.00000435,0.0000041,0.00000411,36232.09,0.15162452,152
1741996800000,2025-03-15,PERPBTC,0.00000419,0.00000432,0.00000419,0.00000432,34460.44,0.14667527,172
1741910400000,2025-03-14,PERPBTC,0.00000421,0.00000439,0.0000042,0.00000422,29544.24,0.12598207,66
1741824000000,2025-03-13,PERPBTC,0.00000418,0.00000425,0.00000412,0.00000412,22459.37,0.09428516,175
1741737600000,2025-03-12,PERPBTC,0.00000411,0.00000427,0.00000407,0.00000422,102136.98,0.42401388,686
1741651200000,2025-03-11,PERPBTC,0.00000417,0.00000421,0.00000401,0.0000041,58561.04,0.24215063,319
1741564800000,2025-03-10,PERPBTC,0.00000431,0.00000442,0.0000041,0.00000417,101373.18,0.4362688,1060
1741478400000,2025-03-09,PERPBTC,0.00000451,0.00000451,0.0000041,0.00000428,62422.6,0.26472219,413
1741392000000,2025-03-08,PERPBTC,0.00000456,0.00000457,0.0000045,0.00000456,10448.04,0.04734323,115
1741305600000,2025-03-07,PERPBTC,0.00000444,0.00000472,0.00000444,0.00000461,16720.26,0.07655017,142
1741219200000,2025-03-06,PERPBTC,0.00000446,0.00000455,0.00000446,0.00000453,1579.86,0.00711367,12
1741132800000,2025-03-05,PERPBTC,0.00000453,0.00000457,0.00000437,0.00000446,11409.68,0.05136346,47
1741046400000,2025-03-04,PERPBTC,0.00000469,0.00000469,0.00000433,0.00000447,18835.09,0.08518278,118
1740960000000,2025-03-03,PERPBTC,0.00000506,0.00000512,0.0000047,0.0000047,26005.03,0.12501418,251
1740873600000,2025-03-02,PERPBTC,0.00000491,0.00000504,0.00000484,0.00000498,15082.19,0.07493253,111
1740787200000,2025-03-01,PERPBTC,0.00000523,0.00000523,0.00000493,0.00000499,19834.41,0.09971935,229
1740700800000,2025-02-28,PERPBTC,0.00000526,0.0000053,0.00000515,0.00000526,25422.57,0.13235864,121
1740614400000,2025-02-27,PERPBTC,0.00000526,0.00000526,0.00000516,0.00000526,7261.84,0.03795969,108
1740528000000,2025-02-26,PERPBTC,0.00000492,0.0000053,0.00000488,0.0000053,24400.71,0.12274076,195
1740441600000,2025-02-25,PERPBTC,4.36e-06,4.97e-06,4.29e-06,4.92e-06,44619.45,0.20136636,271
1740355200000,2025-02-24,PERPBTC,5.08e-06,5.08e-06,4.27e-06,4.33e-06,105025.84,0.47491507,499
1740268800000,2025-02-23,PERPBTC,5.01e-06,5.45e-06,4.98e-06,5.1e-06,48393.89,0.25201595,248
1740182400000,2025-02-22,PERPBTC,4.5e-06,5.07e-06,4.5e-06,4.97e-06,21551.87,0.10171939,146
1740096000000,2025-02-21,PERPBTC,4.78e-06,4.89e-06,4.45e-06,4.52e-06,32597.34,0.15412457,251
1740009600000,2025-02-20,PERPBTC,4.86e-06,4.89e-06,4.75e-06,4.82e-06,16273.29,0.07877628,106
1739923200000,2025-02-19,PERPBTC,4.82e-06,4.91e-06,4.76e-06,4.79e-06,24113.85,0.11687738,95
1739836800000,2025-02-18,PERPBTC,0.000005,0.000005,0.00000464,0.00000479,14850.41,0.07128608,79
1739750400000,2025-02-17,PERPBTC,0.00000504,0.00000515,0.00000488,0.00000505,45966.1,0.22948611,513
1739664000000,2025-02-16,PERPBTC,0.00000498,0.00000509,0.00000487,0.00000501,27384.07,0.13656446,264
1739577600000,2025-02-15,PERPBTC,0.00000511,0.00000511,0.00000492,0.00000494,19812.06,0.09900921,84
1739491200000,2025-02-14,PERPBTC,0.00000508,0.00000514,0.00000499,0.00000509,16794.68,0.08503968,94
1739404800000,2025-02-13,PERPBTC,0.00000523,0.00000525,0.000005,0.00000506,19287.39,0.09893486,87
1739318400000,2025-02-12,PERPBTC,0.0000049,0.00000521,0.00000484,0.00000517,37766.87,0.18596466,189
1739232000000,2025-02-11,PERPBTC,4.91e-06,5.06e-06,4.87e-06,4.89e-06,9293.1,0.0460604,148
1739145600000,2025-02-10,PERPBTC,4.8e-06,4.83e-06,4.64e-06,4.83e-06,27680.93,0.13236596,196
1739059200000,2025-02-09,PERPBTC,4.85e-06,4.93e-06,4.65e-06,4.76e-06,8065.78,0.03847116,42
1738972800000,2025-02-08,PERPBTC,4.58e-06,4.81e-06,4.55e-06,4.79e-06,24551.21,0.11349586,94
1738886400000,2025-02-07,PERPBTC,4.43e-06,4.64e-06,4.4e-06,4.59e-06,25977.78,0.11778903,135
1738800000000,2025-02-06,PERPBTC,4.66e-06,4.7e-06,4.38e-06,4.4e-06,32869.04,0.14897745,215
1738713600000,2025-02-05,PERPBTC,4.58e-06,4.74e-06,4.56e-06,4.64e-06,35367.37,0.16473755,221
1738627200000,2025-02-04,PERPBTC,5.03e-06,5.04e-06,4.54e-06,4.67e-06,20678.31,0.09679726,138
1738540800000,2025-02-03,PERPBTC,5.16e-06,5.16e-06,4.1e-06,5.02e-06,143196.88,0.65387931,745
1738454400000,2025-02-02,PERPBTC,5.95e-06,5.95e-06,4.94e-06,5.17e-06,53883.62,0.28075597,287
1738368000000,2025-02-01,PERPBTC,6.39e-06,6.48e-06,5.96e-06,6e-06,11431.62,0.07193925,96
1738281600000,2025-01-31,PERPBTC,6.15e-06,6.41e-06,6.11e-06,6.34e-06,15875.71,0.09856039,107
1738195200000,2025-01-30,PERPBTC,5.86e-06,6.18e-06,5.79e-06,6.13e-06,11588.5,0.06962518,65
1738108800000,2025-01-29,PERPBTC,5.81e-06,6e-06,5.79e-06,5.91e-06,26857.96,0.15830823,123
1738022400000,2025-01-28,PERPBTC,6.09e-06,6.09e-06,5.8e-06,5.82e-06,5631.86,0.03332566,49
1737936000000,2025-01-27,PERPBTC,6.15e-06,6.15e-06,5.89e-06,6.08e-06,13283.52,0.08045862,90
1737849600000,2025-01-26,PERPBTC,6.17e-06,6.41e-06,6.17e-06,6.17e-06,11987.6,0.07502695,74
1737763200000,2025-01-25,PERPBTC,6.08e-06,6.27e-06,6.08e-06,6.18e-06,4613.94,0.02856971,37
1737676800000,2025-01-24,PERPBTC,6.4e-06,6.41e-06,6e-06,6.04e-06,15082.29,0.09402073,99
1737590400000,2025-01-23,PERPBTC,6.52e-06,6.52e-06,6.17e-06,6.36e-06,16666.57,0.1049765,133
1737504000000,2025-01-22,PERPBTC,6.51e-06,6.66e-06,6.48e-06,6.5e-06,16405.99,0.10762367,108
1737417600000,2025-01-21,PERPBTC,6.34e-06,6.5e-06,6.08e-06,6.46e-06,29539.35,0.18579848,181
1737331200000,2025-01-20,PERPBTC,6.5e-06,6.55e-06,6.22e-06,6.37e-06,79394.58,0.50284367,589
1737244800000,2025-01-19,PERPBTC,7.06e-06,7.23e-06,6.45e-06,6.52e-06,62327.8,0.41704101,504
1737158400000,2025-01-18,PERPBTC,7.62e-06,7.62e-06,6.93e-06,7.09e-06,28828.89,0.20522388,237
1737072000000,2025-01-17,PERPBTC,7.24e-06,7.6e-06,7.24e-06,7.6e-06,27498.84,0.20395754,126
1736985600000,2025-01-16,PERPBTC,7.24e-06,7.41e-06,7.18e-06,7.18e-06,12112.31,0.08795226,112
1736899200000,2025-01-15,PERPBTC,7.23e-06,7.34e-06,7.03e-06,7.32e-06,26961.08,0.19367222,1179
