Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume EUR,tradecount
1747699200000,2025-05-20,SOLEUR,148.57,153.9,146.05,149.34,52464.751,7803547.61733,31124
1747612800000,2025-05-19,SOLEUR,154.99,155.42,142.29,148.48,49779.769,7288157.85874,31688
1747526400000,2025-05-18,SOLEUR,148.85,158.35,147.39,154.92,49241.699,7511616.94832,28646
1747440000000,2025-05-17,SOLEUR,150.06,152.38,147.13,148.75,31134.891,4659066.21303,20539
1747353600000,2025-05-16,SOLEUR,151.25,155.63,149.13,150.1,41850.729,6417931.02678,26207
1747267200000,2025-05-15,SOLEUR,158.06,159.56,149.13,151.22,52434.209,8025131.71077,36922
1747180800000,2025-05-14,SOLEUR,164.3,165.16,154.81,158.06,52120.186,8351574.80314,42627
1747094400000,2025-05-13,SOLEUR,156.89,165.14,149.51,164.27,68267.166,10793932.83835,52264
1747008000000,2025-05-12,SOLEUR,153.8,163.05,151.79,156.99,83931.65,13209150.63614,43597
1746921600000,2025-05-11,SOLEUR,157.82,159.99,150.4,153.79,43443.562,6715887.77436,30075
1746835200000,2025-05-10,SOLEUR,153.46,158.75,149.88,157.93,43945.425,6728659.12118,31112
1746748800000,2025-05-09,SOLEUR,146.24,156.58,143.32,153.48,94150.155,14135529.05794,76901
1746662400000,2025-05-08,SOLEUR,130.33,146.35,129.98,146.3,74049.036,10310560.21195,68212
1746576000000,2025-05-07,SOLEUR,129.56,131.97,127.5,130.31,38623.426,5003961.88484,29651
1746489600000,2025-05-06,SOLEUR,129.77,129.82,124.66,129.52,34455.452,4385649.43632,20644
1746403200000,2025-05-05,SOLEUR,127.27,130.58,125.81,129.7,29008.86,3726461.32893,13940
1746316800000,2025-05-04,SOLEUR,130.03,131.0,127.0,127.3,20395.725,2637432.35894,8695
1746230400000,2025-05-03,SOLEUR,131.13,132.02,129.3,130.03,14278.197,1866599.45444,5887
1746144000000,2025-05-02,SOLEUR,133.47,134.4,130.54,131.15,28570.488,3780916.21583,12234
1746057600000,2025-05-01,SOLEUR,130.39,136.33,130.28,133.5,38973.802,5201402.66017,15035
1745971200000,2025-04-30,SOLEUR,128.54,130.77,123.56,130.39,39268.272,5025476.61957,16526
1745884800000,2025-04-29,SOLEUR,129.68,132.17,127.37,128.57,33474.318,4348602.08438,14355
1745366400000,2025-04-23,SOLEUR,131.0,135.47,129.01,133.43,64496.853,8565292.68119,26446
1744761600000,2025-04-16,SOLEUR,111.68,117.56,108.64,115.34,50263.106,5656637.24562,20512
