Unix,Date,Symbol,Open,High,Low,Close,Volume STORJ,Volume BTC,tradecount
1747699200000,2025-05-20,STORJBTC,0.00000278,0.00000282,0.00000274,0.00000281,311397.0,0.86465438,353
1747612800000,2025-05-19,STORJBTC,0.00000282,0.00000283,0.00000272,0.00000277,51848.0,0.14389481,191
1747526400000,2025-05-18,STORJBTC,0.00000282,0.00000289,0.00000274,0.00000283,55358.0,0.15663105,195
1747440000000,2025-05-17,STORJBTC,0.00000296,0.00000296,0.0000028,0.00000283,62225.0,0.17755413,305
1747353600000,2025-05-16,STORJBTC,0.00000301,0.00000307,0.00000293,0.00000296,105259.0,0.31768671,240
1747267200000,2025-05-15,STORJBTC,0.00000319,0.00000322,0.00000297,0.00000301,96146.0,0.29497872,335
1747180800000,2025-05-14,STORJBTC,0.00000333,0.00000338,0.00000316,0.00000318,51894.0,0.16709304,178
1747094400000,2025-05-13,STORJBTC,0.00000325,0.00000335,0.00000311,0.00000331,56513.0,0.18281678,239
1747008000000,2025-05-12,STORJBTC,0.00000323,0.00000333,0.00000313,0.00000326,133263.0,0.43303363,400
1746921600000,2025-05-11,STORJBTC,0.00000325,0.00000327,0.00000314,0.00000321,38385.0,0.1230987,132
1746835200000,2025-05-10,STORJBTC,0.00000312,0.00000326,0.0000031,0.00000324,123415.0,0.39194984,186
1746748800000,2025-05-09,STORJBTC,0.00000301,0.00000315,0.000003,0.00000313,59364.0,0.18341581,138
1746662400000,2025-05-08,STORJBTC,0.00000289,0.00000302,0.00000289,0.000003,70473.0,0.20921782,184
1746576000000,2025-05-07,STORJBTC,0.00000283,0.00000288,0.0000028,0.00000288,50719.0,0.14389486,130
1746489600000,2025-05-06,STORJBTC,0.00000298,0.00000301,0.00000277,0.00000281,60848.0,0.17208991,247
1746403200000,2025-05-05,STORJBTC,0.00000296,0.00000316,0.00000295,0.00000299,83298.0,0.25335519,153
1746316800000,2025-05-04,STORJBTC,0.000003,0.00000301,0.00000291,0.00000295,32041.0,0.09449848,144
1746230400000,2025-05-03,STORJBTC,0.00000314,0.00000324,0.00000301,0.00000301,193279.0,0.60345739,253
1746144000000,2025-05-02,STORJBTC,0.00000315,0.00000317,0.00000306,0.00000311,41801.0,0.13008485,101
1746057600000,2025-05-01,STORJBTC,0.00000325,0.00000327,0.00000315,0.00000317,188803.0,0.60559633,208
1745971200000,2025-04-30,STORJBTC,0.0000033,0.00000333,0.00000316,0.00000326,37561.0,0.12156926,135
1745884800000,2025-04-29,STORJBTC,0.00000331,0.0000034,0.00000327,0.00000328,131040.0,0.43729219,97
1744761600000,2025-04-16,STORJBTC,0.00000308,0.00000332,0.00000308,0.0000033,155764.0,0.49202664,201
1744675200000,2025-04-15,STORJBTC,0.00000309,0.00000314,0.00000306,0.00000309,74249.0,0.2294982,119
1744588800000,2025-04-14,STORJBTC,0.00000315,0.00000319,0.00000305,0.00000306,59940.0,0.18617751,93
1744502400000,2025-04-13,STORJBTC,0.0000033,0.00000339,0.00000316,0.00000317,38871.0,0.1288971,71
1744416000000,2025-04-12,STORJBTC,0.00000322,0.00000337,0.00000318,0.00000329,38153.0,0.12550124,65
1744329600000,2025-04-11,STORJBTC,0.00000329,0.0000033,0.00000318,0.00000321,10603.0,0.03417844,35
1744243200000,2025-04-10,STORJBTC,0.00000308,0.00000329,0.00000308,0.00000322,179981.0,0.58224629,274
1744156800000,2025-04-09,STORJBTC,0.000003,0.00000316,0.00000293,0.0000031,161238.0,0.49537822,144
1744070400000,2025-04-08,STORJBTC,0.00000303,0.00000309,0.00000297,0.000003,190768.0,0.57616188,169
1743984000000,2025-04-07,STORJBTC,0.00000291,0.00000306,0.00000282,0.000003,127745.0,0.37508282,379
